topic;link;domain;published_date;title;lang
SCIENCE;https://www.eurekalert.org/pub_releases/2020-08/dbnl-acl080620.php;eurekalert.org;2020-08-06 13:59:45;A closer look at water-splitting's solar fuel potential;en
SCIENCE;https://www.pulse.ng/news/world/an-irresistible-scent-makes-locusts-swarm-study-finds/jy784jw;pulse.ng;2020-08-12 15:14:19;An irresistible scent makes locusts swarm, study finds;en
SCIENCE;https://www.express.co.uk/news/science/1322607/artificial-intelligence-warning-machine-learning-algorithm-social-media-data;express.co.uk;2020-08-13 21:01:00;Artificial intelligence warning: AI will know us better than we know ourselves;en
SCIENCE;https://www.ndtv.com/world-news/glaciers-could-have-sculpted-mars-valleys-study-2273648;ndtv.com;2020-08-03 22:18:26;Glaciers Could Have Sculpted Mars Valleys: Study;en
SCIENCE;https://www.thesun.ie/tech/5742187/perseid-meteor-shower-tonight-time-uk-see/;thesun.ie;2020-08-12 19:54:36;Perseid meteor shower 2020: What time and how to see the huge bright FIREBALLS over UK again tonight;en
SCIENCE;https://interestingengineering.com/nasa-releases-in-depth-map-of-beirut-explosion-damage;interestingengineering.com;2020-08-08 11:05:45;NASA Releases In-Depth Map of Beirut Explosion Damage;en
SCIENCE;https://www.thequint.com/tech-and-auto/spacex-nasa-demo-2-rocket-launch-set-for-saturday-how-to-watch;thequint.com;2020-05-28 09:09:46;SpaceX, NASA Demo-2 Rocket Launch Set for Saturday: How to Watch;en
SCIENCE;https://www.thespacereview.com/article/4003/1;thespacereview.com;2020-08-10 22:48:23;Orbital space tourism set for rebirth in 2021;en
SCIENCE;https://www.businessinsider.com/greenland-melting-ice-sheet-past-tipping-point-2020-8;businessinsider.com;2020-08-16 00:28:54;Greenland's melting ice sheet has 'passed the point of no return';en
SCIENCE;https://www.thehindubusinessline.com/news/science/nasa-invites-engineering-students-to-help-harvest-water-on-mars-moon/article32352915.ece;thehindubusinessline.com;2020-08-14 07:43:25;NASA invites engineering students to help harvest water on Mars, Moon;en
SCIENCE;https://www.azoquantum.com/News.aspx?newsID=7321;azoquantum.com;2020-08-04 14:02:00;Astronomers Detect Electromagnetic Signal Caused by Unequal Neutron-Star Collision;en
SCIENCE;https://interestingengineering.com/nasa-finds-ammonia-linked-mushballs-and-shallow-lightning-on-jupiter;interestingengineering.com;2020-08-07 09:23:57;NASA Finds Ammonia-Linked 'Mushballs' and 'Shallow Lightning' on Jupiter;en
SCIENCE;https://menafn.com/1100601885/Russia-targets-returning-to-Venus-build-reusable-rocket;menafn.com;2020-08-07 22:05:55;Russia targets returning to Venus, build reusable rocket;en
SCIENCE;https://www.nasa.gov/press-release/goddard/2020/mars-nightglow/;nasa.gov;2020-08-06 16:28:32;Martian Night Sky Pulses in Ultraviolet Light;en
SCIENCE;https://scitechdaily.com/energy-efficient-tuning-of-spintronic-neurons-to-imitate-the-non-linear-oscillatory-neural-networks-of-the-human-brain/;scitechdaily.com;2020-08-17 14:23:19;Energy-Efficient Tuning of Spintronic Neurons to Imitate the Non-linear Oscillatory Neural Networks of the Human Brain;en
SCIENCE;https://www.theladders.com/career-advice/scientists-may-have-discovered-the-achilles-heel-of-the-coronavirus;theladders.com;2020-08-14 19:58:55;Scientists may have discovered the Achilles' heel of the coronavirus;en
SCIENCE;https://www.eurekalert.org/pub_releases/2020-08/e-tbt080420.php;eurekalert.org;2020-08-04 16:02:36;Tradeoff between the eyes and nose helps flies find their niche;en
SCIENCE;https://kearneyhub.com/news/national/2020s-final-mars-mission-poised-for-blastoff-from-florida/article_241d8506-ac89-56f5-8472-6c5f8423523d.html;kearneyhub.com;2020-08-08 17:13:07;2020's final Mars mission poised for blastoff from Florida;en
SCIENCE;https://www.washingtonpost.com/science/ant-behavior-evolution-fossil/2020/08/14/a246197c-dcd6-11ea-809e-b8be57ba616e_story.html;washingtonpost.com;2020-08-15 12:00:00;In rare find, fossil shows how Cretaceous-era ‘hell ant’ ate its prey with weird jaws;en
SCIENCE;https://www.rnz.co.nz/news/world/422607/nasa-spacex-crew-return-dragon-capsule-splashes-down;rnz.co.nz;2020-08-02 18:50:38;Nasa SpaceX crew return: Dragon capsule splashes down;en
